id,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,distance,passenger_count
1,4,2009-06-15 17:26:21 UTC,-73.844311,40.721319,-73.84161,40.712278,1029.600743498545,1
2,16,2010-01-05 16:52:16 UTC,-74.016048,40.711303,-73.979268,40.782004,8443.441363116644,1
49,5,2011-08-18 00:35:00 UTC,-73.982738,40.76127,-73.991242,40.750562,1389.1321598390443,2
1,7,2012-04-21 04:30:42 UTC,-73.98713,40.733143,-73.991567,40.758092,2795.7896578134387,1
135,5,2010-03-09 07:51:00 UTC,-73.968095,40.768008,-73.956655,40.783762,1998.3378357721347,1
2,12,2011-01-06 09:50:45 UTC,-74.000964,40.73163,-73.972892,40.758233,3787.9800687902766,1
1,7,2012-11-20 20:35:00 UTC,-73.980002,40.751662,-73.973802,40.764842,1554.4462802761145,1
81,16,2012-01-04 17:22:00 UTC,-73.9513,40.774138,-73.990095,40.751048,4159.930252719966,1
125,9,2012-12-03 13:10:00 UTC,-74.006462,40.726713,-73.993078,40.731628,1255.5073729227122,1
83,8,2009-09-02 01:11:00 UTC,-73.980658,40.733873,-73.99154,40.758138,2847.0284110720772,2
2,5,2012-04-08 07:30:50 UTC,-73.996335,40.737142,-73.980721,40.733559,1377.6370664354083,1
2,4,2009-11-06 01:04:03 UTC,-73.991601,40.744712,-73.983081,40.744682,719.5983130785792,2
232,7,2013-07-02 19:54:00 UTC,-74.00536,40.728867,-74.008913,40.710907,2016.8965453144936,1
1,7,2011-04-05 17:11:05 UTC,-74.001821,40.737547,-73.99806,40.722788,1669.4791806660608,2
74,12,2014-02-19 07:22:00 UTC,-73.98643,40.760465,-73.98899,40.737075,2606.419815181911,1
163,5,2009-07-22 16:08:00 UTC,-73.98106,40.73769,-73.994177,40.728412,1513.0419623995463,1
44,5,2010-07-07 14:52:00 UTC,-73.969505,40.784843,-73.958732,40.783357,924.1914857188142,1
8,4,2014-12-06 20:36:22 UTC,-73.979815,40.751902,-73.979446,40.755481,398.66461235215144,1
175,10,2010-09-07 13:18:00 UTC,-73.985382,40.747858,-73.978377,40.76207,1685.4486810888745,1
