id,fare_amount,distance,fuel_consumption_categories
1,4,1029.600743498545,NORMAL FUEL CONSUMPTION
2,16,8443.441363116644,HIGH FUEL CONSUMPTION
49,5,1389.1321598390443,NORMAL FUEL CONSUMPTION
1,7,2795.7896578134387,HIGH FUEL CONSUMPTION
135,5,1998.3378357721347,HIGH FUEL CONSUMPTION
2,12,3787.9800687902766,NORMAL FUEL CONSUMPTION
1,7,1554.4462802761145,LESS FUEL CONSUMPTION
81,16,4159.930252719966,NORMAL FUEL CONSUMPTION
125,9,1255.5073729227122,LESS FUEL CONSUMPTION
83,8,2847.0284110720772,HIGH FUEL CONSUMPTION
2,5,1377.6370664354083,NORMAL FUEL CONSUMPTION
2,4,719.5983130785792,LESS FUEL CONSUMPTION
232,7,2016.8965453144936,NORMAL FUEL CONSUMPTION
1,7,1669.4791806660608,LESS FUEL CONSUMPTION
74,12,2606.419815181911,LESS FUEL CONSUMPTION
163,5,1513.0419623995463,NORMAL FUEL CONSUMPTION
44,5,924.1914857188142,LESS FUEL CONSUMPTION
8,4,398.66461235215144,LESS FUEL CONSUMPTION
175,10,1685.4486810888745,LESS FUEL CONSUMPTION
2,11,2289.6004596986263,LESS FUEL CONSUMPTION
1,4,924.2441045040014,LESS FUEL CONSUMPTION
199,4,1405.9235139209995,HIGH FUEL CONSUMPTION
2,6,1020.0186949045169,LESS FUEL CONSUMPTION
73,7,2530.9552595077894,HIGH FUEL CONSUMPTION
168,4,328.84006830010884,LESS FUEL CONSUMPTION
2,9,4069.5858697923804,HIGH FUEL CONSUMPTION
26,4,807.0951411532862,LESS FUEL CONSUMPTION
16,5,871.5595199132572,LESS FUEL CONSUMPTION
1,22,6697.198221406314,NORMAL FUEL CONSUMPTION
17,31,9427.201063006261,NORMAL FUEL CONSUMPTION
194,5,1383.5785158969688,NORMAL FUEL CONSUMPTION
1,18,7141.191457179663,HIGH FUEL CONSUMPTION
1,58,12770.770447117504,LESS FUEL CONSUMPTION
1,4,806.3478702435388,LESS FUEL CONSUMPTION
2,5,953.5595605000154,LESS FUEL CONSUMPTION
113,9,2345.1122927663273,NORMAL FUEL CONSUMPTION
3,9,3581.361842116876,HIGH FUEL CONSUMPTION
2,8,1641.527705596427,LESS FUEL CONSUMPTION
4,10,5011.471506557829,HIGH FUEL CONSUMPTION
3,17,5745.018977233457,NORMAL FUEL CONSUMPTION
22,12,5454.207522785244,HIGH FUEL CONSUMPTION
25,5,949.2392434046557,LESS FUEL CONSUMPTION
3,6,2545.7719621159267,HIGH FUEL CONSUMPTION
119,4,994.3496926448571,LESS FUEL CONSUMPTION
28,3,461.89683534738055,LESS FUEL CONSUMPTION
83,3,550.0748793838964,LESS FUEL CONSUMPTION
154,9,1646.9698582267865,LESS FUEL CONSUMPTION
7,9,2497.536793795035,NORMAL FUEL CONSUMPTION
3,5,1012.3978327527775,LESS FUEL CONSUMPTION
5,8,2282.102655550925,NORMAL FUEL CONSUMPTION
14,7,207.28772008551508,LESS FUEL CONSUMPTION
2,25,11592.35161289687,HIGH FUEL CONSUMPTION
2,15,5037.496126658893,NORMAL FUEL CONSUMPTION
97,34,9657.731732497403,NORMAL FUEL CONSUMPTION
9,9,1694.9858666682355,LESS FUEL CONSUMPTION
2,13,6344.529327608863,HIGH FUEL CONSUMPTION
2,6,1269.0993171148762,LESS FUEL CONSUMPTION
69,5,431.2967971317147,LESS FUEL CONSUMPTION
2,4,1231.1819218574676,NORMAL FUEL CONSUMPTION
78,4,974.2818489851902,LESS FUEL CONSUMPTION
198,7,1450.1582672729187,LESS FUEL CONSUMPTION
3,7,2190.0880766196333,NORMAL FUEL CONSUMPTION
3,7,1620.818789180486,LESS FUEL CONSUMPTION
187,8,1112.764068217973,LESS FUEL CONSUMPTION
5,16,3734.0995112521155,LESS FUEL CONSUMPTION
1,11,3375.4995907401762,NORMAL FUEL CONSUMPTION
7,5,836.9057829621376,LESS FUEL CONSUMPTION
